epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27393,1.06846,1.89345,4.04253,1.0065,0.00808,0.31667,0.08963,0.06786,0.00961,0.36389,0.08892,0.05735,0.9092,1.53334,3.82949,0.94279,7.145e-05,7.145e-05,7.145e-05
2,5.29357,0.77366,1.22937,3.43665,0.87946,0.01196,0.49444,0.34965,0.30915,0.01335,0.51944,0.35751,0.2774,0.76517,1.35825,3.50145,0.81825,0.000156412,0.000156412,0.000156412
3,7.29723,0.71575,0.9001,1.86045,0.81726,1,0.28369,0.62335,0.51952,1,0.28369,0.62335,0.49402,0.81248,1.17835,2.90823,0.82634,0.000240525,0.000240525,0.000240525
4,9.17329,0.65963,0.78875,1.10991,0.81231,0.9895,0.39888,0.66717,0.5468,0.9895,0.39888,0.66717,0.51997,0.78548,1.14561,2.42998,0.82019,0.000323789,0.000323789,0.000323789
5,11.0935,0.64802,0.74539,0.88752,0.81358,0.99381,0.33333,0.83744,0.68275,0.99381,0.33333,0.83808,0.64513,0.84379,1.31811,3.08338,0.85592,0.000406205,0.000406205,0.000406205
6,12.9837,0.64872,0.72328,0.82927,0.81331,1,0.2925,0.83435,0.66645,1,0.29825,0.83499,0.65401,0.85189,1.39793,3.14019,0.86042,0.000487771,0.000487771,0.000487771
7,14.7929,0.58464,0.67377,0.71511,0.81367,1,0.15268,0.99191,0.77143,1,0.15268,0.99191,0.72667,0.87744,1.21369,2.56306,0.84704,0.000568489,0.000568489,0.000568489
8,16.6644,0.59683,0.69674,0.69206,0.81226,1,0.18098,0.995,0.77931,1,0.18098,0.995,0.76283,0.87761,1.22884,2.57957,0.85813,0.000648358,0.000648358,0.000648358
9,18.5968,0.59168,0.68642,0.66454,0.80886,0.99124,0.35028,0.9945,0.80375,0.99124,0.35028,0.9945,0.79246,0.8974,1.14142,2.36209,0.86982,0.000727378,0.000727378,0.000727378
10,20.5072,0.60704,0.70339,0.65268,0.82305,0.97832,0.38983,0.99375,0.82309,0.97832,0.38983,0.99375,0.77626,0.79256,0.97856,2.28853,0.85348,0.000805549,0.000805549,0.000805549
11,22.436,0.63175,0.68676,0.62884,0.82118,0.98523,0.38352,0.99483,0.80004,0.98523,0.38352,0.99483,0.76241,0.93649,1.3035,2.24515,0.87666,0.000882872,0.000882872,0.000882872
12,24.3362,0.66742,0.65293,0.62621,0.82336,0.98599,0.46327,0.995,0.81418,0.98599,0.46327,0.995,0.75985,0.91043,1.28452,2.00436,0.8756,0.000959346,0.000959346,0.000959346
13,26.1885,0.62997,0.67355,0.60504,0.8129,0.98647,0.65275,0.995,0.85074,0.98647,0.65275,0.995,0.79441,0.79273,1.25544,1.88123,0.85211,0.00103497,0.00103497,0.00103497
14,28.1032,0.59674,0.6403,0.58086,0.81505,0.9829,0.72749,0.995,0.8511,0.9829,0.72749,0.995,0.7975,0.80704,1.18929,1.91284,0.85287,0.00110975,0.00110975,0.00110975
15,30.0019,0.56683,0.63616,0.56747,0.82074,0.97869,0.76951,0.995,0.85116,0.97869,0.76951,0.995,0.8032,0.77137,1.08735,1.75332,0.84728,0.00118367,0.00118367,0.00118367
16,31.918,0.56504,0.62583,0.53367,0.80814,0.97637,0.99943,0.995,0.85482,0.97637,0.99943,0.995,0.77881,0.78934,1.12359,1.06079,0.86153,0.00125675,0.00125675,0.00125675
17,34.023,0.56204,0.61317,0.53179,0.80614,0.98048,1,0.995,0.84328,0.98048,1,0.995,0.77552,0.77054,1.12781,0.9037,0.85868,0.00131582,0.00131582,0.00131582
18,36.2154,0.56867,0.63658,0.53604,0.81245,0.9735,0.99779,0.995,0.85332,0.9735,0.99779,0.995,0.78063,0.74802,1.02189,1.03636,0.84947,0.00130875,0.00130875,0.00130875
19,38.3504,0.59385,0.61764,0.55036,0.81311,0.9757,1,0.995,0.82457,0.9757,1,0.995,0.7867,0.81749,1.13177,0.97513,0.86288,0.00130168,0.00130168,0.00130168
20,40.3049,0.59986,0.64785,0.53532,0.80885,0.9877,0.998,0.995,0.85828,0.9877,0.998,0.995,0.81583,0.76811,1.01891,0.72059,0.85459,0.0012946,0.0012946,0.0012946
21,42.2438,0.58578,0.60433,0.53485,0.81488,0.98846,1,0.995,0.8726,0.98846,1,0.995,0.80656,0.74703,1.00424,0.67689,0.85151,0.00128753,0.00128753,0.00128753
22,44.1838,0.55794,0.59078,0.51091,0.81122,0.98476,0.99849,0.995,0.88188,0.98476,0.99849,0.995,0.79532,0.74064,0.98395,0.64103,0.84895,0.00128046,0.00128046,0.00128046
23,46.1166,0.54406,0.5845,0.49848,0.8052,0.98825,0.99428,0.995,0.88023,0.98825,0.99428,0.995,0.8102,0.72228,1.03746,0.61882,0.84441,0.00127338,0.00127338,0.00127338
24,47.9892,0.52427,0.57241,0.50369,0.81423,0.99308,1,0.995,0.87407,0.99308,1,0.995,0.79997,0.72419,1.11837,0.51254,0.8426,0.00126631,0.00126631,0.00126631
25,49.9137,0.53949,0.59133,0.48442,0.80301,0.99466,1,0.995,0.8556,0.99466,1,0.995,0.80154,0.78677,1.25081,0.49749,0.85628,0.00125923,0.00125923,0.00125923
26,51.8299,0.52355,0.55662,0.49141,0.80031,0.99137,1,0.995,0.86918,0.99137,1,0.995,0.80435,0.73212,1.17056,0.52912,0.84822,0.00125216,0.00125216,0.00125216
27,53.681,0.559,0.60324,0.49316,0.80738,0.99271,0.99867,0.995,0.87505,0.99271,0.99867,0.995,0.8162,0.72748,1.2096,0.50522,0.84846,0.00124509,0.00124509,0.00124509
28,55.5785,0.50751,0.58065,0.47536,0.80957,0.99644,1,0.995,0.87488,0.99644,1,0.995,0.79257,0.73966,1.15164,0.43301,0.85373,0.00123801,0.00123801,0.00123801
29,57.4483,0.53426,0.6225,0.46965,0.80506,0.99664,1,0.995,0.86434,0.99664,1,0.995,0.81107,0.7509,1.09254,0.45242,0.85674,0.00123094,0.00123094,0.00123094
30,59.3167,0.51325,0.58563,0.46598,0.81573,0.99057,1,0.995,0.86163,0.99057,1,0.995,0.81468,0.72035,1.0035,0.44897,0.84248,0.00122387,0.00122387,0.00122387
31,61.2525,0.50613,0.53914,0.44518,0.79997,0.9925,0.99944,0.995,0.88405,0.9925,0.99944,0.995,0.80874,0.72154,1.12559,0.43893,0.84633,0.00121679,0.00121679,0.00121679
32,63.198,0.49463,0.54949,0.44038,0.80843,0.99185,1,0.995,0.86781,0.99185,1,0.995,0.82933,0.73232,1.05592,0.43266,0.84577,0.00120972,0.00120972,0.00120972
33,65.05,0.52965,0.55488,0.46069,0.81424,0.99066,1,0.995,0.89632,0.99066,1,0.995,0.81965,0.74153,1.09993,0.44378,0.84808,0.00120265,0.00120265,0.00120265
34,66.9669,0.5251,0.57883,0.45641,0.8061,0.98888,0.99899,0.995,0.87924,0.98888,0.99899,0.995,0.80827,0.73828,1.03306,0.47081,0.85024,0.00119557,0.00119557,0.00119557
35,68.8222,0.50445,0.55498,0.44546,0.80859,0.99598,1,0.995,0.88161,0.99598,1,0.995,0.81248,0.73336,1.08247,0.43421,0.8493,0.0011885,0.0011885,0.0011885
