                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3030.1,                 1.6663,                 4.0145,                 2742.6,                0.00312,                0.17778,                0.01289,                0.00764,                0.00612,                0.26111,                0.01493,                0.00767,                 2280.5,                 1.8682,                 3.9535,                 2033.7,                 0.0955,                 0.0005,                 0.0005
                      1,                 3403.7,                 1.6955,                 4.0237,                 3035.1,                0.00261,                0.16389,                0.02903,                0.01732,                0.00536,                  0.225,                0.02085,                0.01328,                 2283.5,                 1.8498,                 3.9337,                 2054.9,               0.090095,              0.0010946,              0.0010946
                      2,                 3328.3,                 1.6875,                 4.0197,                 2971.1,                0.00259,                0.16389,                0.04174,                0.02802,                0.00611,                0.23333,                0.02894,                0.01913,                 1978.5,                 1.6993,                 3.8755,                 1755.6,               0.084683,              0.0016832,              0.0016832
                      3,                   2419,                 1.3989,                 3.9365,                 2231.2,                0.01082,                0.63611,                 0.1205,                0.07698,                 0.0149,                0.70833,                0.12438,                  0.072,                 1911.4,                 1.5822,                 3.7529,                 1537.2,               0.079266,              0.0022658,              0.0022658
                      4,                 1977.9,                 1.2272,                 3.8619,                 1941.1,                0.00589,                0.55556,                0.08384,                0.07065,                0.00589,                0.55556,                0.10271,                0.05485,                 1575.3,                 1.6916,                 3.7258,                 1409.5,               0.073843,              0.0028426,              0.0028426
                      5,                 2000.6,                 1.2698,                 3.8171,                 1851.6,                0.00496,                0.45556,                0.10548,                0.08528,                0.00545,                0.46389,                 0.1221,                0.04365,                 1826.3,                 1.9203,                 3.8222,                 1486.3,               0.068413,              0.0034134,              0.0034134
                      6,                 1670.1,                 1.3203,                 3.7582,                 1691.9,                0.00419,                0.36944,                0.16017,                0.14784,                0.00491,                0.38333,                0.17339,                 0.0634,                 1325.4,                  1.602,                 3.6861,                 1347.3,               0.062978,              0.0039782,              0.0039782
                      7,                 1874.1,                 1.2287,                 3.7811,                 1756.4,                0.00546,                0.40833,                0.14188,                0.11934,                0.00801,                0.44167,                0.13972,                0.04475,                   1783,                 1.6791,                 3.7195,                 1430.4,               0.057537,              0.0045371,              0.0045371
                      8,                 1830.5,                 1.2424,                 3.7766,                 1758.1,                0.01518,                   0.55,                0.15374,                0.13506,                0.01928,                0.62778,                0.18417,                0.07487,                 1352.3,                 1.4971,                 3.5884,                 1337.1,                0.05209,              0.0050901,              0.0050901
                      9,                 2044.5,                 1.2112,                 3.7574,                 1813.3,                0.01646,                0.54444,                0.08981,                0.07007,                0.02257,                0.63056,                 0.1461,                 0.0787,                 1342.1,                 1.4495,                 3.6352,                 1335.4,               0.046637,              0.0056372,              0.0056372
                     10,                 1915.7,                 1.2279,                 3.7481,                 1726.7,                 0.0177,                0.54722,                0.06137,                0.03793,                0.02455,                   0.65,                0.13323,                0.07439,                 1443.9,                 1.5028,                 3.6266,                 1347.3,               0.041178,              0.0061782,              0.0061782
                     11,                 2094.8,                 1.2535,                 3.7052,                   1746,                0.02041,                0.59167,                0.05767,                0.02927,                0.02585,                0.66944,                0.13936,                0.07783,                 1464.2,                 1.5566,                 3.7411,                 1362.7,               0.035713,              0.0067134,              0.0067134
                     12,                 1890.7,                  1.269,                 3.7271,                 1732.7,                0.01594,                0.51667,                0.05366,                0.03276,                 0.0245,                0.64167,                0.12278,                 0.0565,                 1542.9,                 1.5427,                 3.6835,                 1382.6,               0.030243,              0.0072426,              0.0072426
                     13,                 2189.5,                 1.3149,                  3.737,                   1804,                0.01837,                   0.55,                 0.0639,                0.03616,                0.02511,                0.64722,                0.12809,                0.06488,                   1440,                 1.5571,                 3.6689,                 1358.4,               0.024766,              0.0077659,              0.0077659
                     14,                 2884.7,                 1.2831,                  3.764,                 2050.4,                0.01914,                0.56667,                0.06906,                0.04321,                0.02477,                   0.65,                0.12953,                0.07413,                 1610.9,                  1.599,                 3.5707,                 1404.2,               0.019283,              0.0082832,              0.0082832
                     15,                 1968.4,                  1.314,                 3.7908,                 1772.5,                0.01001,                0.43056,                0.05509,                0.04021,                0.02367,                0.63056,                0.09454,                0.04621,                   1601,                 1.5897,                 3.6886,                 1431.7,               0.013795,              0.0087946,              0.0087946
                     16,                 2471.7,                 1.3383,                  3.753,                 1933.7,                0.00916,                0.41944,                0.04937,                0.03592,                0.02252,                0.61944,                0.07955,                0.03911,                 1620.3,                  1.721,                 3.7556,                 1418.2,               0.009208,               0.009208,               0.009208
                     17,                 1975.8,                 1.3972,                 3.7069,                 1669.6,                0.01411,                    0.5,                0.06116,                0.04645,                0.02391,                0.65278,                  0.095,                0.05654,                 1659.3,                 1.6865,                 3.7014,                 1425.5,               0.009208,               0.009208,               0.009208
                     18,                 2088.7,                 1.3557,                 3.7425,                 1788.6,                0.01537,                0.51944,                0.08557,                0.06258,                0.02393,                0.65278,                0.12688,                0.08349,                 1490.4,                 1.5115,                 3.6715,                 1372.8,              0.0091585,              0.0091585,              0.0091585
                     19,                   2245,                 1.3925,                   3.74,                 1836.3,                0.01524,                  0.525,                0.08975,                0.07178,                0.02223,                0.63889,                0.12436,                 0.0847,                 1540.7,                 1.6046,                 3.6178,                 1392.7,               0.009109,               0.009109,               0.009109
                     20,                 2262.1,                 1.3921,                 3.6989,                 1840.8,                0.01666,                   0.55,                0.10372,                0.08723,                0.02223,                0.64167,                0.13311,                0.09123,                 1561.8,                  1.642,                 3.5539,                 1402.6,              0.0090595,              0.0090595,              0.0090595
                     21,                 2031.9,                  1.461,                 3.7102,                 1817.8,                0.01751,                0.57222,                 0.1233,                0.10555,                0.02327,                0.66389,                0.15235,                0.10665,                 1568.4,                   1.66,                  3.654,                 1397.4,                0.00901,                0.00901,                0.00901
                     22,                   2152,                 1.4333,                  3.758,                 1857.5,                0.01062,                0.46389,                0.10353,                0.08206,                0.02299,                0.66389,                0.14372,                0.08926,                 1593.8,                 1.6785,                  3.669,                 1408.7,              0.0089605,              0.0089605,              0.0089605
                     23,                 2017.8,                 1.4204,                 3.7292,                 1795.2,                0.01281,                0.52778,                0.11028,                0.09438,                0.02335,                0.69722,                0.14773,                0.09629,                 1495.4,                 1.5607,                 3.6139,                 1392.6,               0.008911,               0.008911,               0.008911
                     24,                 2024.8,                 1.3908,                 3.7255,                 1817.1,                0.01672,                  0.575,                0.12566,                0.10409,                0.02316,                0.67778,                0.15359,                0.10463,                 1675.9,                 1.6323,                 3.5705,                   1414,              0.0088615,              0.0088615,              0.0088615
                     25,                 1979.6,                  1.371,                 3.7253,                   1826,                 0.0185,                0.63056,                 0.1132,                 0.0935,                0.02357,                0.71111,                0.13763,                0.09099,                 1553.2,                 1.5672,                 3.5457,                 1398.1,               0.008812,               0.008812,               0.008812
                     26,                 1825.4,                 1.3686,                 3.6995,                 1733.5,                0.01833,                0.65278,                0.10948,                 0.0877,                0.02455,                   0.75,                0.13689,                0.09599,                 1510.4,                 1.5159,                  3.608,                 1384.3,              0.0087625,              0.0087625,              0.0087625
                     27,                 1631.8,                 1.3654,                 3.6299,                 1654.7,                0.01844,                0.63611,                0.12188,                0.09617,                0.02424,                  0.725,                0.15101,                0.09977,                 1487.3,                 1.4621,                 3.5214,                 1370.8,               0.008713,               0.008713,               0.008713
                     28,                 1781.6,                 1.3057,                 3.6726,                 1738.5,                0.01506,                0.56944,                0.08912,                0.06846,                0.02362,                    0.7,                0.12072,                0.06408,                 1588.2,                 1.5518,                 3.6081,                 1413.5,              0.0086635,              0.0086635,              0.0086635
                     29,                 1877.1,                 1.2874,                  3.707,                 1780.5,                0.01873,                  0.625,                0.09608,                0.07335,                0.02367,                    0.7,                0.12465,                0.07726,                   1718,                 1.5766,                 3.5229,                 1411.4,               0.008614,               0.008614,               0.008614
                     30,                 1749.6,                 1.2853,                 3.6269,                   1683,                 0.0193,                0.64722,                0.11113,                0.08669,                0.02461,                0.72778,                0.14253,                0.08973,                 1484.5,                 1.4417,                 3.5345,                 1367.4,              0.0085645,              0.0085645,              0.0085645
                     31,                   1686,                 1.2933,                 3.6753,                 1704.4,                0.01867,                0.63889,                0.12023,                0.09405,                0.02358,                0.71389,                 0.1474,                0.08773,                 1446.5,                 1.4389,                 3.5905,                 1370.3,               0.008515,               0.008515,               0.008515
                     32,                   1705,                 1.2593,                 3.6589,                 1691.8,                0.01896,                0.65833,                0.10034,                0.07756,                0.02423,                0.73889,                0.12608,                0.07585,                 1513.3,                 1.4824,                 3.5603,                 1371.9,              0.0084655,              0.0084655,              0.0084655
                     33,                 1590.1,                 1.2423,                 3.6306,                   1666,                0.01993,                0.66111,                0.11998,                0.09248,                0.02425,                0.72778,                 0.1454,                0.08569,                 1465.8,                 1.5031,                 3.5199,                 1361.2,               0.008416,               0.008416,               0.008416
                     34,                 1618.4,                 1.2619,                  3.667,                 1655.2,                0.01588,                0.56667,                0.11813,                0.09423,                0.02413,                0.69167,                0.14537,                0.08829,                 1576.9,                  1.538,                 3.6062,                 1404.8,              0.0083665,              0.0083665,              0.0083665
                     35,                 1547.9,                 1.2659,                 3.6468,                 1607.2,                0.01846,                0.60833,                0.14922,                0.13189,                0.02336,                0.68333,                0.17058,                0.11163,                 1565.5,                 1.5905,                 3.4941,                 1392.1,               0.008317,               0.008317,               0.008317
                     36,                 1898.4,                 1.3045,                 3.6804,                   1890,                0.02033,                0.68056,                0.14211,                0.12093,                0.02394,                0.73611,                0.16529,                0.10589,                 1385.7,                 1.4705,                 3.5307,                 1347.6,              0.0082675,              0.0082675,              0.0082675
                     37,                 1730.3,                 1.2834,                 3.6054,                 1748.6,                0.02058,                0.67222,                0.12832,                 0.1012,                0.02433,                0.73056,                0.14929,                0.09648,                 1312.5,                 1.4204,                 3.5295,                 1344.1,               0.008218,               0.008218,               0.008218
                     38,                 1733.8,                 1.2381,                 3.6425,                 1731.2,                0.01981,                0.64722,                0.15814,                0.13696,                0.02425,                0.71667,                0.18182,                0.11813,                 1535.6,                  1.545,                 3.4735,                 1394.1,              0.0081685,              0.0081685,              0.0081685
                     39,                 1547.9,                 1.2318,                  3.608,                 1692.9,                0.02017,                0.66389,                0.13168,                0.11138,                0.02414,                  0.725,                0.15439,                0.10381,                 1515.6,                 1.5293,                 3.4947,                 1371.8,               0.008119,               0.008119,               0.008119
